"categoria","producto","total_vendido"
"accesorios","Vincha Rigida con Nudo Marfil","15"
"accesorios","Set de Hebillas y Gomitas Elásticas Unicornio Fun Kids x 6","14"
"accesorios","Hebillas con Perlas","14"
"accesorios","Set de Vinchas Rígidas Negra y Carey x 2","14"
"accesorios","Pañuelo Con Estampa","13"
"accesorios","Gafas de Lectura","13"
"accesorios","Set de Mini Scrunchies Basics Nudes y Negro x 8","12"
"accesorios","Set Gomitas de Pelo Wav Medianas Negras x 6","12"
"accesorios","Aritos de Corazón","12"
"accesorios","Sombrero","11"
"accesorios","Gomitas de Pelo Wav Glitter Rosa x 8","11"
"accesorios","Broche","10"
"accesorios","Pulsera de Corazones","10"
"accesorios","Gafas de Unicornio","10"
"accesorios","Monedero de Unicorio","8"
"accesorios","Anillo de Resina Con Glitter","7"
"cuidado de la piel","Loción Hidratante","15"
"cuidado de la piel","Serum","14"
"cuidado de la piel","Contorno de Ojos","13"
"cuidado de la piel","Exfoliante Facial","13"
"cuidado de la piel","Serum Vitamina C","12"
"cuidado de la piel","Aceite Facial","12"
"cuidado de la piel","Mascarilla de Noche","12"
"cuidado de la piel","Crema con Ácido Hialurónico","11"
"cuidado de la piel","Crema Antiedad","11"
"cuidado de la piel","Agua Micelar","11"
"cuidado de la piel","Bloqueador Solar","11"
"cuidado de la piel","Gel Limpiador","11"
"cuidado de la piel","Crema Hidratante","11"
"cuidado de la piel","Protector Solar Facial","11"
"cuidado de la piel","Tónico Facial","10"
"cuidado de la piel","Mascarilla Facial","9"
"cuidado personal","Afeitadora","15"
"cuidado personal","Crema Hidratante","15"
"cuidado personal","Gel de Ducha","13"
"cuidado personal","Protector Solar","13"
"cuidado personal","Cepillo Dental","13"
"cuidado personal","Enjuague Bucal","13"
"cuidado personal","Crema para Manos","12"
"cuidado personal","Champú Seco","12"
"cuidado personal","Desodorante en Barra","12"
"cuidado personal","Jabón Líquido","12"
"cuidado personal","Desodorante","12"
"cuidado personal","Acondicionador","12"
"cuidado personal","Crema Corporal","12"
"cuidado personal","Champú Anticaspa","10"
"cuidado personal","Cepillo Dental Eléctrico","9"
"cuidado personal","Crema de Afeitar","9"
"fragancias","Terre Eau de Toilette","17"
"fragancias","Glacial Essence Eau de Parfum","17"
"fragancias","Irresistible Eau de Parfum","15"
"fragancias","Burberry Hero Eau de Parfum","14"
"fragancias","Black Opium Eau de Parfum","14"
"fragancias","CHANCE Eau de Parfum","14"
"fragancias","Flora Gorgeous Jasmine Eau de Parfum","13"
"fragancias","Sauvage Eau de Toilette","13"
"fragancias","Tommy Men","12"
"fragancias","LA VIE EST BELLE Eau de Parfum","11"
"fragancias","One Million Eau de Toilette","11"
"fragancias","Boss","10"
"fragancias","K Eau de Parfum","10"
"fragancias","Blue Jeans Eau de Toilette","9"
"fragancias","Acqua Di Gio Eau de Toilette","9"
"fragancias","Colonia","8"
"maquillaje","Bronceador","16"
"maquillaje","Labial en Barra","14"
"maquillaje","Lash Sensational Sky High","13"
"maquillaje","Powder Kiss Labial Mate","13"
"maquillaje","Naked 3 Paleta de Sombras de Ojos","12"
"maquillaje","Polvo Compacto","12"
"maquillaje","Iluminador","12"
"maquillaje","Labial Líquido","12"
"maquillaje","Base en Polvo","12"
"maquillaje","Rubor","11"
"maquillaje","Delineador Líquido","11"
"maquillaje","Cejas en Gel","11"
"maquillaje","Sombras de Ojos","11"
"maquillaje","Delineador en Gel","10"
"maquillaje","Base Superstay Foundation Full Coverage","10"
"maquillaje","Corrector","10"
"moda","Cubrepezones Circular Studio 9 Silicona","15"
"moda","RB 1973 Square II Gafas de Sol","15"
"moda","Tote Bag Wav Cuadrille Lila y Blanco","14"
"moda","Cartera de Silicona Fun Kids Arcoíris","13"
"moda","Zapatillas","13"
"moda","Holder Strap Wav Mostacillas Y2K","12"
"moda","Reloj","12"
"moda","Aritos de Perlas","12"
"moda","Gorra I <3 NY","12"
"moda","RB 8313M Aviator Ferrari Gafas de sol","12"
"moda","Llavero Borlas","11"
"moda","Tarjetero Gatito Glitter","11"
"moda","Llavero Pompón Osito","10"
"moda","RB 2299 Lady Burbank","10"
"moda","Cinturón de Cuero Vegano","10"
"moda","Tarjetero Have a Nice Day de Cuero","9"
